X;Tree;Model;Cladogenesis;Extinction;Carrying_capacity;Colonisation;Anagenesis;Likelihood
215;72;2;0.064086631;1.01E-06;979.7809688;0.000341668;1.97E-05;-1077.981218
217;73;1;0.071668103;2.12E-07;368.6645892;0.000342331;3.38E-06;-1118.730892
222;74;3;0.061659444;4.62E-07;590.052769;0.000338924;1.15E-06;-1106.598789
224;75;2;0.075802719;6.34E-07;630.6137246;0.000338709;3.16E-05;-1049.105373
228;76;3;0.074206992;0.115819966;Inf;0.097013671;0.571756382;-797.7146428
230;77;2;0.058244528;1.04E-07;444.6789266;0.000342663;3.93E-06;-1143.446803
233;78;2;0.069191771;1.60E-06;555.8740762;0.000344981;5.88E-07;-1079.466822
237;79;3;0.073288832;1.17E-06;501.8363865;0.000337453;1.82E-07;-1073.517823
240;80;3;0.068547574;4.63E-08;5560356.119;0.000343699;2.24E-05;-1037.574329
243;81;3;0.069811646;1.58E-08;570.7961105;0.000341964;6.07E-06;-1081.436751
245;82;2;0.07159067;3.32E-07;435.9401494;0.000347061;3.01E-08;-1091.489903
249;83;3;0.073254321;6.89E-09;1332.328451;0.000342231;4.50E-07;-1036.483317
252;84;3;0.06279743;0.025719273;Inf;0.005683953;0.275499385;-1079.630804
254;85;2;0.080029368;9.62E-08;470.1835152;0.000345002;8.56E-06;-1058.398078
258;86;3;0.069342024;0.108072593;Inf;0.090913177;0.555869892;-786.3416351
261;87;3;0.077081749;2.10E-07;492.272574;0.000336576;6.42E-06;-1065.272002
263;88;2;0.069677332;6.27E-07;432.2071165;0.000343556;2.43E-07;-1094.427069
267;89;3;0.072377412;3.02E-08;487.6073174;0.000340019;4.00E-06;-1078.351472
269;90;2;0.048765907;0.005017693;Inf;0.004103409;0.292243516;-1100.480066
271;91;1;0.072389849;9.50E-08;513.8124712;0.000341959;2.23E-05;-1074.630802
276;92;3;0.064439656;2.83E-06;556.1422255;0.000343323;2.05E-05;-1097.221774
277;93;1;0.074507309;6.02E-07;434.0145063;0.000340444;1.63E-07;-1079.606532
280;94;1;0.070710828;1.62E-06;594.0606178;0.000345319;4.73E-06;-1071.932896
285;95;3;0.045455225;1.68E-07;1611.034239;0.003783808;0.240028912;-1130.91649
286;96;1;0.067540933;7.58E-07;477.4832196;0.000341639;1.69E-05;-1101.844989
290;97;2;0.07199202;7.27E-09;392.3930422;0.000341483;2.23E-07;-1106.642437
294;98;3;0.068031923;1.16E-06;511.7074499;0.00034142;1.19E-05;-1084.984232
295;99;1;0.070811152;8.05E-07;541.3304676;0.000344935;1.35E-08;-1077.160097
299;100;2;0.075861246;2.26E-06;512.1574475;0.000341438;6.78E-06;-1065.363637
;;;0.069019584;1.05E-02;65278.24179;0.008894089;0.076009051;
;;;0.08;6.23E-13;322;0.000271;2.00E-02;
