"","Tree","Model","Cladogenesis","Extinction","Carrying_capacity","Colonisation","Anagenesis","Likelihood"
"1",1,1,0.0595257979553283,4.89233129960145e-06,434.843698617429,0.000344381518345616,1.65053094865568e-05,-1140.97005154789
"2",1,2,0.0595257979553283,4.89233129960145e-06,434.843698617429,0.000344381518345616,1.65053094865568e-05,-1140.97005154789
"3",1,3,0.0595257979553283,4.89233129960145e-06,434.843698617429,0.000344381518345616,1.65053094865568e-05,-1140.97005154789
"4",2,1,0.0514803512400711,9.93250978916711e-06,2525.71709605828,0.00376021083574929,0.279752476966495,-1097.94503382245
"5",2,2,0.0515075800955489,1.38055097852236e-07,2540.13542297717,0.00376551980908792,0.278365371790756,-1097.9443610187
"6",2,3,0.0515075800955489,1.38055097852236e-07,2534.98687116789,0.00376751637975015,0.278421151525681,-1097.94434203936
"7",3,1,0.0684672218929133,3.62870890012368e-07,843.931616724724,0.000342583176307338,8.7527303934563e-06,-1065.41727884188
"8",3,2,0.0684672218929133,3.62870890012368e-07,843.931616724724,0.000342583176307338,8.7527303934563e-06,-1065.41727884188
"9",3,3,0.0684672218929133,3.62870890012368e-07,843.931616724724,0.000342583176307338,8.7527303934563e-06,-1065.41727884188
"10",4,1,0.0687228660464525,1.060252972136e-06,687.508034117359,0.000342581900793996,3.72087741090655e-06,-1073.49690072791
"11",4,2,0.0687228660464525,1.060252972136e-06,687.508034117359,0.000342581900793996,3.72087741090655e-06,-1073.49690072791
"12",4,3,0.0687228660464525,1.060252972136e-06,687.508034117359,0.000342581900793996,3.72087741090655e-06,-1073.49690072791
"13",5,1,0.0714484485832968,4.93097634020257e-08,583.527524486882,0.000345286046857366,0.000134827237163634,-1079.24386589194
"14",5,2,0.0713953535659452,4.36874084923585e-08,584.814962116796,0.000339489703894373,6.54692446063001e-07,-1079.23703917709
"15",5,3,0.0713953535659452,4.36874084923585e-08,584.814962116796,0.000339489703894373,6.54692446063001e-07,-1079.23703917715
"16",6,1,0.0689653987500756,3.94460762717891e-07,370.479268726553,0.000342292337136505,2.71419106718961e-07,-1120.56157348196
"17",6,2,0.0689653987500756,3.94460762717891e-07,370.479268726553,0.000342292337136505,2.71419106718961e-07,-1120.56157348197
"18",6,3,0.0689653987500756,3.94460762717891e-07,370.479268726553,0.000342292337136505,2.71419106718961e-07,-1120.56157348196
"19",7,1,0.0831300642849534,1.72575338346669e-06,362.205179597635,0.000342296865500554,2.67325801315441e-05,-1082.19446051412
"20",7,2,0.08306662627264,5.05047535319971e-07,362.205179597635,0.000342296865500554,2.67325801315441e-05,-1082.19400643991
"21",7,3,0.08306662627264,5.05047535319971e-07,362.205179597635,0.000342296865500554,2.67325801315441e-05,-1082.19400643991
"22",8,1,0.0751060206493092,0.117077768082378,Inf,0.0974943499499646,0.627317526068963,-778.472329911496
"23",8,2,0.0755269957641586,0.117692125144823,Inf,0.097867410037036,0.629230963948637,-778.467966164773
"24",8,3,0.0757230655323734,0.117919506605208,Inf,0.0980248024668874,0.629438746830822,-778.467358945183
"25",9,1,0.0745117345006088,4.85585962276514e-06,583.706687346944,0.000344520749399057,4.96871850139617e-07,-1060.67156005302
"26",9,2,0.0745117345006088,4.85585962276514e-06,583.706687346944,0.000344520749399057,4.96871850139617e-07,-1060.67156005263
"27",9,3,0.0745117345006088,4.85585962276514e-06,583.706687346944,0.000344520749399057,4.96871850139617e-07,-1060.67156005314
"28",10,1,0.0723365043237364,8.42208575176643e-07,436.690357196763,0.000341873644873707,1.69813467606652e-07,-1088.42431059001
"29",10,2,0.0722371571536241,2.26706513448965e-07,436.690357196763,0.000341873644873707,1.69813467606652e-07,-1088.42366605951
"30",10,3,0.0722371571536241,2.26706513448965e-07,436.690357196763,0.000341873644873707,1.69813467606652e-07,-1088.42366605951
"31",11,1,0.0614787364930568,1.60736005924022e-06,438.413820862603,0.000345746108180484,1.54910413583923e-08,-1136.02801244935
"32",11,2,0.0614771891573649,4.47689707313997e-07,438.413820862603,0.000345746108180484,1.54910413583923e-08,-1136.02759463346
"33",11,3,0.0614771891573649,4.47689707313997e-07,438.413820862603,0.000345746108180484,1.54910413583923e-08,-1136.02759463346
"34",12,1,0.0635114705826854,9.53092789147833e-07,537.229118251227,0.000333926409551355,1.98507285905038e-05,-1107.27731509365
"35",12,2,0.0626299393814005,9.53092789147833e-07,556.29236439694,0.000339863199756985,1.83682274332633e-05,-1107.26096837523
"36",12,3,0.0626299393814005,9.53092789147833e-07,556.29236439694,0.000339863199756985,1.83682274332633e-05,-1107.26096837523
"37",13,1,0.0638614884060516,5.73432787666733e-06,457.292842716517,0.000337634427277288,2.32785588533001e-07,-1116.861056003
"38",13,2,0.0638614884060516,5.73432787666733e-06,457.292842716517,0.000337634427277288,2.32785588533001e-07,-1116.86105600298
"39",13,3,0.0638614884060516,5.73432787666733e-06,457.292842716517,0.000337634427277288,2.32785588533001e-07,-1116.86105600294
"40",14,1,0.0725057919631366,1.26802834162792e-06,515.066096268284,0.000336298290968166,1.54922570104274e-05,-1079.44707734863
"41",14,2,0.0725057919631366,1.26802834162792e-06,515.066096268284,0.000336298290968166,1.54922570104274e-05,-1079.4470773484
"42",14,3,0.0725057919631366,1.26802834162792e-06,515.066096268284,0.000336298290968166,1.54922570104274e-05,-1079.44707734855
"43",15,1,0.0502552776586732,0.00629025699644206,Inf,0.00421973880207668,0.252326118334098,-1090.05245080382
"44",15,2,0.0502047647143877,0.00618063330694198,Inf,0.0042012086253829,0.251854682060439,-1090.05159955968
"45",15,3,0.050173626977738,0.00608823881969377,Inf,0.00418648960391075,0.251845543056886,-1090.05128208819
"46",16,1,0.0646501354174277,8.17851294809766e-07,547.961405906993,0.000341936519481326,1.55985379069997e-05,-1100.53490771155
"47",16,2,0.0646501354174277,8.17851294809766e-07,547.961405906993,0.000341936519481326,1.55985379069997e-05,-1100.53490771151
"48",16,3,0.0646501354174277,8.17851294809766e-07,547.961405906993,0.000341936519481326,1.55985379069997e-05,-1100.53490771161
"49",17,1,0.0735271068209838,5.40883092009577e-07,546.352535949187,0.000344025310633338,6.41702757230907e-06,-1065.05772188099
"50",17,2,0.0735271068209838,5.40883092009576e-07,543.576706008574,0.000345005562289902,3.63902092019169e-06,-1065.05769455443
"51",17,3,0.0736289292259063,2.513572977452e-08,543.576706008574,0.000345005562289902,3.63902092019169e-06,-1065.05717548469
"52",18,1,0.0637648706360244,5.77841869725059e-06,572.465505851978,0.000340911011851249,2.05753650638387e-07,-1093.70536960864
"53",18,2,0.0639762149661937,3.21518450672325e-08,567.669885018528,0.000341561042864804,4.99964696968726e-06,-1093.69955065065
"54",18,3,0.0644073803809043,1.32999633252991e-06,556.848190064176,0.000337771551399355,8.141920834416e-07,-1093.6969485994
"55",19,1,0.0685049849932783,8.66532903214146e-06,536.884154964372,0.000339885272426804,6.05987815954583e-06,-1087.24434699359
"56",19,2,0.0682245391303921,3.32765070455594e-08,538.396481013974,0.000341616440880562,1.17870393993451e-05,-1087.23886039402
"57",19,3,0.0682245391303921,3.32765070455594e-08,538.396481013974,0.000341616440880562,1.17870393993451e-05,-1087.23886039354
"58",20,1,0.0676524872844787,2.14987781831514e-06,615.551719967086,0.000337624471251966,5.30332230917307e-05,-1079.51976857383
"59",20,2,0.0676524872844787,2.14987781831514e-06,615.551719967086,0.000337624471251966,5.30332230917307e-05,-1079.51976856912
"60",20,3,0.0676524872844787,2.14987781831514e-06,615.551719967086,0.000337624471251966,5.30332230917307e-05,-1079.51976857672
"61",21,1,0.0763086155692596,1.04857628436413e-06,377.40537856215,0.000343100325604004,8.96253239204011e-06,-1091.7293210516
"62",21,2,0.0763086155692596,1.04857628436413e-06,377.40537856215,0.000343100325604004,8.96253239204011e-06,-1091.72932105161
"63",21,3,0.0763086155692596,1.04857628436413e-06,377.40537856215,0.000343100325604004,8.96253239204011e-06,-1091.72932105161
"64",22,1,0.0673044244295491,1.21476931979747e-06,396.077717708531,0.000342438239669375,7.70156913203785e-07,-1117.14683716031
"65",22,2,0.0673044244295491,1.21476931979747e-06,400.095333328601,0.000348170849768761,7.55764098894165e-05,-1117.14504253368
"66",22,3,0.0667025810778727,6.21536124380987e-07,404.843904128442,0.000342781607878379,1.03355906027796e-06,-1117.13417826589
"67",23,1,0.0640557368544835,0.0989849186144455,Inf,0.0828059480149883,0.533301432929936,-798.395876550225
"68",23,2,0.0641910890973897,0.0990792835798374,Inf,0.0828059480149883,0.533301432929936,-798.395018386833
"69",23,3,0.0642226496067264,0.0991240986181902,Inf,0.0827401834018757,0.533151812078973,-798.395177623404
"70",24,1,0.0649545952191949,9.72110481636442e-06,539.617644784178,0.000339177041648024,2.86517013456277e-08,-1101.81785488723
"71",24,2,0.0646209115369352,3.98617899403965e-08,542.797978954284,0.000341516179949498,6.49771900266104e-06,-1101.81023781565
"72",24,3,0.0645183576313933,3.24069461193632e-09,543.521839294349,0.00034374317423029,1.29208383995981e-06,-1101.80954282908
"73",25,1,0.0732075110869985,1.52900396029884e-05,426.00215572467,0.000342981054484639,1.67374410591448e-06,-1092.98372796285
"74",25,2,0.0732142598073381,3.57106857373709e-06,426.00215572467,0.000342981054484639,1.67374410591448e-06,-1092.9796524229
"75",25,3,0.0732142598073381,3.57106857373709e-06,426.00215572467,0.000342981054484639,1.67374410591448e-06,-1092.9796524229
"76",26,1,0.0643139789034825,5.9116966415154e-05,410.797758806851,0.000349000381938153,2.84911753180485e-06,-1125.13154250707
"77",26,2,0.0641472808488427,1.36068464948801e-08,410.297860517267,0.000340413876829157,2.22851494003864e-06,-1125.11059952814
"78",26,3,0.0641472808488427,1.36068464948801e-08,410.297860517267,0.000340413876829157,2.22851494003864e-06,-1125.11059952814
